,name,old_price,price,dollars
98," Laptop Hp Pentium Gold, 8gb Ram, 1tb Dd,15-da0077la, Nueva, Facturamos ",9990.0,9490.0,189800.0
99," Laptop Asus Vivobook A12 (3.6 Ghz) 256gb Ssd + 1tb, 16gb Ram ",,17699.0,353980.0
100, Laptop Gamer Asus Vivobook Core I5 8gb 1tb Geforce 930mx ,13969.0,11599.0,231980.0
101, Laptop Hp 240 G5 14 Celeron N3060 4gb 500gb 100% Nueva + Msi ,,5799.0,115980.0
102, Laptop Asus Intel Celeron N4000 4gb 500gb 14 A407ma-bv044t ,6599.0,5599.0,111980.0
103, Laptop Intel Core I5 Asus Vivobook 8gb 1tb 15.6 Wifi Rojo ,13989.0,10899.0,217980.0
104, Laptop Chromebook 11.6 Intel Celeron N2840 4gb 16gb Lenovo ,2999.0,2599.0,51980.0
105, Macbook Air 13.3 Core I5 1.8ghz 8gb Ram 128gb Mod A1416 ,,17999.0,359980.0
106, Laptop Gamer Hp Omen I7 9750h 16gb 256gb Ssd 15.6 Gtx 1660ti ,39999.0,31899.0,637980.0
107, Laptop Gamer Msi Gf63 Thin I5 9300h 8gb 256ssd 15.6 Gtx 1650 ,28999.0,21989.0,439780.0
108, Laptop Lenovo Amd A6 4gb Ram 64 Emmc Nueva Win 10 Garantia ,4899.0,4199.0,83980.0
